
江西IPTV6,#genre#
CCTV-17,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225907/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225918/index.m3u8
CETV4-576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225969/index.m3u8
风尚购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225970/index.m3u8
央广购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225974/index.m3u8
好享购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225973/index.m3u8
家家购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225975/index.m3u8
CCTV中视购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225976/index.m3u8
家家购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225972/index.m3u8
家家购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225971/index.m3u8
嘉佳卡通576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226193/index.m3u8
河南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226196/index.m3u8
金鹰纪实,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226198/index.m3u8
江西教育,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226197/index.m3u8
安多卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226195/index.m3u8
快乐购,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226190/index.m3u8
江西少儿,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226194/index.m3u8
CCTV-16,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226230/index.m3u8
江西经济生活,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226206/index.m3u8
CCTV-16,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226232/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226221/index.m3u8
欢乐剧场,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226210/index.m3u8
东北热剧,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226202/index.m3u8
延边卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226201/index.m3u8
大湾区卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226203/index.m3u8
CETV2-576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226242/index.m3u8
厦门卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226199/index.m3u8
康巴卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226207/index.m3u8
